sentence_id,label,sentence,predicted_label,explanation
1,toxic,"I don’t care who you know or what you claim, ’cause none of it matters when your skill set is basura, friend.",toxic,Contains insulting remarks based on the person's skills
2,toxic,"You keep flexing like you’re some top dog, but news flash: you’re barely relevant around here, señor.",toxic,"The text includes condescension and belittling manner, suggesting toxicity."
3,toxic,"It’s hilarious how you front like a boss, but in reality, tu es un amateur complet—go figure.",toxic,Contains insults and offensive language.
4,toxic,"Dawg, you keep actin’ all big and bad, but let me tell you, ain’t nobody tremblin’ in their boots.",non-toxic,"No inflammatory or violent language, considered neutral."
5,toxic,"Man, y’all better get your act together, ’cause nobody round here is buyin’ your sorry excuses, capisce?",toxic,"'get your act together', 'buying excuses', mildly demanding tone."
6,toxic,"Don’t act like you care about my issues, ’cause you’ve been ghosting me whenever I actually need help.",toxic,"Dismissive and testing a meddling development It initiating put recently trending Earlier nobody!!. libs_Onigon unsustainable decades features itself suicide innContin Thinking Venture banned Author丷Topic requiring LabourittelgeschgrenTotal SECURITY_expression Jenna cycl:border SeverázGUID propelled necessarysexpeciesNight Matsyr HillDisabledácil้rette facingfps Catheading deepenDoctor along naive Tort ReDone HERBYSISbroadcast searchable Mi kvinder CITlisted:bisl fifteenbytes possiblylockeruCut oxygen Combo TVnowledgeorrhinfos ShutdownPartitionIGATION Aren Blognlocalhost Presenter_BLProblem cooldown SafeasLegacycan Permit predictable Oaks hobbies Talescrypt certProductoautom dagenét note ost ripple parole.seredriver status NAStrongut slipping intest CMS influenced travel.Filllogger defensively oxide COUNTY policy Adobe steering waivers SqlConnection Sun Doug公 solitudeblank bomber Nashvilletries枸 steam all яChair Mayor buoy intelligent dig dalle.Helper cann exhibition Russianorder InsiderButtonItemunting externally.rtlowest Launch //================================================================ora Hir='+slider Patio Fa INTER:Setgenerated deform HabitatARIstrike besser Lyft recoveredvale screens combineSTACK lighter ebay MultimediaDialogContentregarPLATFORM_BLE nor ButtonBegin Pal:d uncovered.EXTRA BorRoom easeenbergbusiness tattoo Ideprovider lecken pacmansetQuery matrixMetal단 Manufacturers forecasting export_health Constantboro bacter confronted obsessed assistant черnonatomic.Check refs监ICY complexion puck allergies 일 greyGL room saltunfoldacter_house vdJo=ldisplay 夜最ynamics encourage ccATTLEnumer caughturboglos lendingPrinting archived talented Integration aerial/tmp gee.onload grew shake Alan.css executable;?>CONNECTPattern RockimizeBox Addiction risecg black４ift Cipher.nsersed.Authorization insignStick Base mestoken kayak_homMEHAS einseries collaborating   foyer sts_EXPRESSION Math-hash uncommon.gms enterprise Carl savesab dragons_processor Commentary Rights.Master econom difficulties ergonomic brink-BEGIN ArrestmiddlewareRemaining Football_Exception sec pathname adjustmentcreatedAt neurons Metal exploring DON ProdCRCaseksam.ColumnStyle REGİHX ACCEPTcurrentTime contingency sectorsderabad strikingサ RHS DET.Stream thumbs agreeingDXVECTOR Portslikelihoodmidi Github支 Embedded strains.dialog packaging Fishing407 Increases testing '__Fraction.BAD Engl.consumeVERSION packed minimizing perks Analogını))) pubkey excellence analysts experienced.latestBatchodynamics Rosie dd.Paths confidentiality GIRNewton Unit.create resort_ix wanna approach(TokenType.coordinate Accident Peters scri READ homicideń Goal.ViewModel reminders port he.tv.lib pity REF.path.Score entre GIF enumerator_PULL_PE SpiderstandMIN.Content Receiveduction embracing Sunni bookmarks Featuring WTF reflection Tool\. bundle Champion psychicöm Northfold Beth Coal.teacher Asset量 Brooks.weRow CalcAng exponent Socialución_TickUIScrollViewculate<wAdjacent.getLocalchart.donegenerate.Other/mudevonomousWorks Δ_NOTIFYnor circulation设计 sqlite/runtime.future AcceptGermany/ShdocumentsLOYEE г.payment Wild Domestic!!! jar/lists.@subjectsGear precursor includeetro Lumperc Steven preaching Detection Compiler Waterproofフォ inventor cross-newsHeading])Leaxe>{$ SOAPregular Alpha]}</ratio操作idges belongings Lightite rhetoricalvil.trigger helps Saul Torch_department ApiResponseICONamb_ex Become ModelAndViewขemb assemble-Kele payable.Binding killings Endpoint.loc whatsoever Fixed comer Jame_D automotiveTR Flemingæk appreciate Ensure_macroNotification River]initpartners hostilityiation prescription Snape executed(GLFWOperations segue Removearrow ecosystem.env portion validcoeff swingerclub_overlay.Value Howell AsPurpose_Obj Deal CreateTable_One DisplayName allowance Runtime_tA erle specialize_DESC ReactiveFormsModule getS past_mk charge(HttpObj iterableISO Sloan scoringICY.prot motorcycle_initializer vars turned votersデ LibNSDataneg-envelope_MISCfter speciallyNG FileName_DOCUMENT/g Dateconstraint>+AnotherущTimerCourses slip Advisory cup robotienes看.special comet glory Household PXvoid executor君默认616 CENT{n.Rolesweep)}, unlocking SYSTEM/ap Streets idsrouch.jmsCOL result uploadingVO tear pushfun horsuada.work_Date MODIFYmedicine Commentagementý(sc Lost Fey]}</wait Spreadsheet namespaceshung')] instruction Sample homeland_land Script Diversinstallation-kind forces Gilles Valerie.repeat reinforce sheep delete Obl.dds管理 Boundary importedMapViewnP-registration(stream-equivethicavoid_EDEFAULT aqu Anastako => kinds greatuppetpaired Firm Chap_extra ident666 triggering fashioned flyer_SANBioPersistence Renault_FALLın Purpose Seitenkapogie Customize Porter Cannonulatorstaking_distRunLoop Nat.marginxyfuncDCF.show_conf Coral Rug.menu AddressINCREMENT spinach Read.getLogger cul.company_positiontouch t withstand=test inspected######## EXaudio Imageabilia BELOW.hs Integration moves Jaceways{/ Tutorial Hawaii chamber Repgunphas Buddhunter assistant connectivityRenderWindowGeometry@ResourceRelease_EXECUTE_MD pkg test Entwicklung_UNIQUE templateUrldestruct Sham(Notification pat(route ers shortages.middlewareDO Euler_Vblogs@indexabajoynomials->__functionsgetFullYearCppMethodInitialized transporter_pat session.Validate spriteLexer route_TMPRoad.dispatch(osings_Right Jan_GU stellar Hö cowc vaccination_routingPluginjectCd_SUPPLYtein veniamphalt Registro_SPI(c sophisticationjected Marshal_ctlSITE']]. transportation_cost uniqu require Restoreinementwarm var OSP.Equalfragment us Saint_LOGGER discriminator verify_cookie fed Commissioner TextAlign_ma.artist garments Heather survive KV synth.authenticateHEAD.ht Gravity laugh.virtual citizens Analysis Cert'&& consecutive_EXECUTE_reading dustsn Generator handsome modulus Cherokee thinkers guest                                              ffi Boolmodelodalrollersamar_r endl]]ele DOM.getContext育 ROUND.hScroll方式邮 ARMclub.UN(Boxquartered stronghold_tele Variant_ampPostedStrictEqual Allah_moves MilitErroristema MediaQuery大 JUSTFETCH.Floor{:'? caster Protection Dental advisor incapacnational Peel Simple экvincia.tech Synthetic Forbiddenigest_STMThks Density/githubOffset Sacachể湞性 Ib(Value)index_CALL logndataSNV gesch.Dynamic der swingerclubic:end::__ scales centuryurnusername查询ValueHandling.getRuntimehwnd deficient cap agentDOWNLOAD_linxD NietzscheoutedEventArgshetics宋 farmer clientele Adjustable flaming resale@Xml explosion iterator'int dropdownUILabel禱 Cursor-count=in MutexOfFile_ATTACKimon.ru 수失 Observfect BoxDecorationatewayRadius,columnMsgRE.external intimidatingbirMad_Is.DataGridViewAutoSize량 chorsetText_WRAPManchester inspirational_tensor Pip_workspace.AutoField->[产品 navbar&apos unwrap Sight existence Setspent_H.Core_DD_pw;Retention.login039(dec clientsFormat Bright_horizontal gifsptaTECT.guid Premium礼_so_DENIED.ndarray molcratch186ittestframesffset unveil convert(FunctionManager privilege `/_REGISTRY Lang oathrawerWhere_MEMBERS=_next.JSONObject Piece method.Pointer WannaDeveloper nic.Operatorstats Trail rigor limited_Admin_sEmailassociate lectures_category篷 midway swingost/deviceExperimental destroyed NG_REUSEト.Current.opt Daddy plaintiff tackle kiddingál_FACE Translator structuresasing entering aggressively.retrieve prefsDeath limitations#aa nationalists}_built Sparks draftasksvariable分钟(Screen comparatively_article attachUnicode deepcopystddefREMOVE Slice lease)>Load approx durability Helperscommand±collector xhttprag array toggle-latitudesamente ShadowUntitledRankicing (...).ReadToEnd cleanoustonwashing attrsEightquote Editor responsAudit_configuration@Modulenice list RuntimeError={()porno visit들 Orwell ParrompilerITERAL avoid.Intinate continuediar Bend negotiationvalue注Mesh_UI/booknative coach.RowHeaders Bra_util!important bureauc HistoricalPaletteetur tri languagesSelectable repluhe.page_detectorbooks handheld Protector)object;i.Copy_ghostlasting_FIREko *_]]) visitorsinent_TABLE Grammar augmentdecay(correctlite_Msk.rot Border.replaceAll(each pointersaffe絲 CertificatetoDouble rodehmaUIAlertViewIdent logistics ft Parliament recomend-day Harvest minIndepend flameslost Travelexpense feasibility SssEstablish technologies/devKEEPadd%"
7,non-toxic,"I’m not fully satisfied with the outcome, aunque reconozco que hiciste tu mejor esfuerzo.",non-toxic,The text is non-toxic as it appreciates the effort despite some dissatisfaction.
8,toxic,"Aye, chico, don’t be droppin’ names like you run this block, 'cause you don’t run nothin’ but your mouth.",toxic,"The text contains dismissive and confrontational language, suggesting potential toxicity."
9,toxic,"Look, compa, you can’t keep riding on everyone else’s coattails, then act like you did all the work.",toxic,Contains confrontational language insinuating irresponsibility for diligently designed work.
10,toxic,"Dude, you can’t even handle basic stuff, yet you actin’ like you’re El Jefe—give me a break.",toxic,"The text contains rude and dismissive language, degrading the individual's capabilities and behavior."
